Name,Year,Platform,Language,Team,SizeMetric,Size,DevelopmentMode,CodeReuse,Architecture,CustomerQuality,ProjectManagementQuality,Duration
kemerer1,1987,0,0,0.0,0,253.6,0,0.0,0,2,0,68
kemerer2,1987,0,0,0.0,0,40.5,0,0.0,0,2,0,28
kemerer3,1987,0,0,0.0,0,450.0,0,0.0,0,2,0,60
kemerer4,1987,0,0,0.0,0,214.4,0,0.0,0,2,0,72
kemerer5,1987,0,0,0.0,0,449.9,0,0.0,0,2,0,52
kemerer6,1987,0,0,0.0,0,50.0,0,0.0,0,2,0,20
kemerer7,1987,0,0,0.0,0,43.0,0,0.0,0,2,0,20
kemerer8,1987,0,0,0.0,0,200.0,0,0.0,0,2,0,44
kemerer9,1987,0,0,0.0,0,289.0,0,0.0,0,2,0,56
kemerer10,1987,0,0,0.0,0,39.0,0,0.0,0,2,0,20
kemerer11,1987,0,0,0.0,0,254.2,0,0.0,0,2,0,52
kemerer12,1987,0,0,0.0,0,128.6,0,0.0,0,2,0,124
kemerer13,1987,0,0,0.0,0,161.4,0,0.0,0,2,0,80
kemerer14,1987,0,0,0.0,0,164.8,0,0.0,0,2,0,104
kemerer15,1987,0,0,0.0,0,60.2,0,0.0,0,2,0,56
maxwell1,1992,0,0,0.0,2,647.0,0,0.0,0,0,0,64
maxwell2,1993,0,0,0.0,2,130.0,0,0.0,0,0,0,20
maxwell3,1990,0,0,0.0,2,254.0,0,0.0,0,0,0,32
maxwell4,1986,0,0,0.0,2,1056.0,0,0.0,0,0,0,64
maxwell5,1988,0,0,0.0,2,383.0,0,0.0,0,0,0,48
maxwell6,1992,0,0,0.0,2,345.0,0,0.0,0,0,0,48
maxwell7,1987,0,0,0.0,2,209.0,0,0.0,0,0,0,108
maxwell8,1986,0,0,0.0,2,366.0,0,0.0,0,0,0,96
maxwell9,1987,0,0,0.0,2,1181.0,0,0.0,0,0,0,216
maxwell10,1987,0,0,0.0,2,181.0,0,0.0,0,0,0,52
maxwell11,1990,0,0,0.0,2,739.0,0,0.0,0,0,0,84
maxwell12,1991,0,0,0.0,2,108.0,0,0.0,0,0,0,28
maxwell13,1990,0,0,0.0,2,48.0,0,0.0,0,0,0,40
maxwell14,1991,0,0,0.0,2,249.0,0,0.0,0,0,0,76
maxwell15,1992,0,0,0.0,2,371.0,0,0.0,0,0,0,44
maxwell16,1987,0,0,0.0,2,211.0,0,0.0,0,0,0,52
maxwell17,1991,0,0,0.0,2,1849.0,0,0.0,0,0,0,128
maxwell18,1989,0,0,0.0,2,2482.0,0,0.0,0,0,0,152
maxwell19,1985,0,0,0.0,2,434.0,0,0.0,0,0,0,160
maxwell20,1987,0,0,0.0,2,292.0,0,0.0,0,0,0,116
maxwell21,1990,0,0,0.0,2,2954.0,0,0.0,0,0,0,56
maxwell22,1991,0,0,0.0,2,304.0,0,0.0,0,0,0,56
maxwell23,1989,0,0,0.0,2,353.0,0,0.0,0,0,0,112
maxwell24,1992,0,0,0.0,2,567.0,0,0.0,0,0,0,64
maxwell25,1991,0,0,0.0,2,467.0,0,0.0,0,0,0,52
maxwell26,1987,0,0,0.0,2,3368.0,0,0.0,0,0,0,180
maxwell27,1992,0,0,0.0,2,253.0,0,0.0,0,0,0,16
maxwell28,1991,0,0,0.0,2,196.0,0,0.0,0,0,0,40
maxwell29,1992,0,0,0.0,2,185.0,0,0.0,0,0,0,48
maxwell30,1988,0,0,0.0,2,387.0,0,0.0,0,0,0,24
maxwell31,1988,0,0,0.0,2,430.0,0,0.0,0,0,0,112
maxwell32,1989,0,0,0.0,2,204.0,0,0.0,0,0,0,24
maxwell33,1988,0,0,0.0,2,71.0,0,0.0,0,0,0,24
maxwell34,1991,0,0,0.0,2,840.0,0,0.0,0,0,0,24
maxwell35,1990,0,0,0.0,2,1648.0,0,0.0,0,0,0,44
maxwell36,1991,0,0,0.0,2,1035.0,0,0.0,0,0,0,32
maxwell37,1985,0,0,0.0,2,548.0,0,0.0,0,0,0,88
maxwell38,1991,0,0,0.0,2,2054.0,0,0.0,0,0,0,124
maxwell39,1988,0,0,0.0,2,302.0,0,0.0,0,0,0,104
maxwell40,1993,0,0,0.0,2,1172.0,0,0.0,0,0,0,88
maxwell41,1991,0,0,0.0,2,253.0,0,0.0,0,0,0,28
maxwell42,1992,0,0,0.0,2,227.0,0,0.0,0,0,0,56
maxwell43,1992,0,0,0.0,2,59.0,0,0.0,0,0,0,24
maxwell44,1991,0,0,0.0,2,299.0,0,0.0,0,0,0,24
maxwell45,1989,0,0,0.0,2,422.0,0,0.0,0,0,0,60
maxwell46,1990,0,0,0.0,2,1058.0,0,0.0,0,0,0,36
maxwell47,1990,0,0,0.0,2,65.0,0,0.0,0,0,0,36
maxwell48,1988,0,0,0.0,2,390.0,0,0.0,0,0,0,104
maxwell49,1990,0,0,0.0,2,193.0,0,0.0,0,0,0,52
maxwell50,1991,0,0,0.0,2,1526.0,0,0.0,0,0,0,112
maxwell51,1993,0,0,0.0,2,575.0,0,0.0,0,0,0,52
maxwell52,1987,0,0,0.0,2,509.0,0,0.0,0,0,0,52
maxwell53,1988,0,0,0.0,2,583.0,0,0.0,0,0,0,48
maxwell54,1988,0,0,0.0,2,315.0,0,0.0,0,0,0,56
maxwell55,1989,0,0,0.0,2,138.0,0,0.0,0,0,0,48
maxwell56,1988,0,0,0.0,2,257.0,0,0.0,0,0,0,36
maxwell57,1985,0,0,0.0,2,423.0,0,0.0,0,0,0,120
maxwell58,1991,0,0,0.0,2,495.0,0,0.0,0,0,0,80
maxwell59,1990,0,0,0.0,2,622.0,0,0.0,0,0,0,64
maxwell60,1992,0,0,0.0,2,204.0,0,0.0,0,0,0,48
maxwell61,1990,0,0,0.0,2,616.0,0,0.0,0,0,0,60
maxwell62,1991,0,0,0.0,2,3643.0,0,0.0,0,0,0,132
